,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
119,186,Alec Kann,ATL,GK,77004.0,77004.0,18,0,1620,0,1,3,0,0.0,67.2,0.1,0,6.69
120,91,Johan Kappelhof,CHI,D,530000.0,570000.0,33,0,2881,0,2,5,1,0.1,85.2,0.9,1,6.9
121,108,Taylor Kemp,DC,D,120000.0,120000.0,22,0,1980,0,0,2,0,0.5,70.3,1.4,0,6.88
122,25,Sacha Kljestan,NYRB,M,650000.0,787500.0,28,4,2583,2,9,6,0,1.3,79.3,1.1,5,7.18
123,227,Xavier Kouassi,NE,M,840000.0,890541.75,14,9,1218,1,0,3,2,0.2,86.3,0.8,1,6.61
124,288,Kevin Kratz,ATL,M,150000.0,164250.0,5,15,591,1,1,1,0,0.4,84.3,0.2,0,6.43
125,248,Connor Lade,NYRB,D,85000.0,92812.5,16,5,1382,0,2,3,0,0.6,74.3,0.4,0,6.56
126,120,Roland Lamah,DAL,M,630000.0,773500.0,29,3,2160,11,2,2,0,1.4,74.6,1.2,3,6.85
127,119,Jeff Larentowicz,ATL,M,175008.0,175008.0,30,3,2602,1,1,6,0,0.5,84.2,1.8,0,6.85
128,158,Cyle Larin,ORL,F,150000.0,192000.0,24,4,2169,12,3,1,0,2.0,77.1,0.7,2,6.75
129,43,Kemar Lawrence,NYRB,D,100000.0,205600.0,23,1,2076,1,5,7,0,0.7,70.8,1.8,1,7.06
130,218,Brooks Lennon,RSL,F,53004.0,53004.0,15,10,1527,3,2,2,0,0.8,79.3,0.6,1,6.62
131,86,Nick Lima,SJ,D,80004.0,86208.03,20,2,1809,2,1,1,1,0.9,79.1,1.0,1,6.92
132,118,Aaron Long,NYRB,D,65000.0,65000.0,30,1,2661,1,0,3,0,0.7,75.9,2.3,1,6.86
133,185,Daniel Lovitz,MTL,M,78750.0,78750.0,19,6,1750,0,0,4,1,0.2,76.1,1.2,0,6.69
134,70,Adolfo Machado,HOU,D,200004.0,216504.0,33,0,2970,0,2,5,0,0.3,77.0,1.6,1,6.96
135,265,Matteo Mancosu,MTL,F,700000.08,719541.75,20,6,1745,6,1,5,0,1.9,65.2,1.0,0,6.51
136,182,Kekuta Manneh,CLB,M,138875.0,168375.0,9,10,839,4,3,0,0,1.4,77.2,0.2,2,6.7
137,123,Mauro Manotas,HOU,F,215746.08,215746.08,24,9,2064,10,5,3,0,2.2,78.6,0.2,0,6.84
138,72,Chad Marshall,SEA,D,350000.0,366250.0,27,1,2366,1,2,2,0,0.5,90.1,2.1,1,6.96
139,228,Darren Mattocks,POR,F,300000.0,316666.67,11,13,1075,4,1,1,0,1.3,72.6,1.2,2,6.61
140,121,Chris Mavinga,TOR,D,265008.0,300691.6,24,2,2015,0,2,3,0,0.3,84.1,1.2,0,6.84
141,319,Jack McBean,LA,F,65625.0,65625.0,8,10,715,2,0,4,0,0.5,66.8,1.3,1,6.28
142,256,Chris McCann,ATL,M,540000.0,568000.0,9,14,959,0,2,0,0,0.6,82.7,0.4,0,6.53
