,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
67,27,57,Matt Hedges,Matt Hedges,DAL,DAL,D,D,152000.0,399996.0,152000.0,424996.0,26,27,0,0,2334,2425,1,2,0,0,5,7,0,0,0.4,0.9,81.0,84.5,2.2,1.9,1,1,7.11,7.01
68,66,16,Federico Higuain,Federico Higuain,CLB,CLB,M,M,1175000.0,1050000.0,1175000.0,1050000.0,18,26,2,0,1610,2239,4,9,2,9,0,3,0,0,2.3,2.0,79.3,79.9,0.2,0.1,0,3,6.94,7.24
69,108,211,Cristian Higuita,Cristian Higuita,ORL,ORL,M,M,80000.0,150000.0,80000.0,150000.0,16,18,5,8,1513,1555,1,0,1,2,9,9,1,0,0.5,0.5,84.4,87.6,0.8,0.7,0,0,6.84,6.64
70,47,280,Ryan Hollingshead,Ryan Hollingshead,DAL,DAL,M,M,122500.0,132500.0,122500.0,132500.0,22,9,7,9,2026,822,2,0,0,0,3,0,0,0,0.8,0.9,73.8,78.0,2.4,0.9,1,0,7.01,6.46
71,154,219,Tim Howard,Tim Howard,COL,COL,GK,GK,2100000.0,2000000.0,2575000.0,2475000.0,17,25,0,0,1530,2250,0,0,0,0,1,1,0,0,0.0,0.0,71.1,63.3,0.0,0.2,1,3,6.75,6.62
72,223,109,Ilsinho,Ilsinho,PHI,PHI,M,M,430000.0,470000.0,478333.33,518333.33,14,24,11,3,1286,1851,2,6,2,3,2,4,1,0,1.2,1.4,77.9,79.5,0.4,0.4,1,1,6.6,6.87
73,188,143,Andrew Jacobson,Andrew Jacobson,VAN,VAN,M,M,62500.08,150000.0,87500.08,175000.0,18,19,8,2,1751,1704,2,2,0,2,4,2,0,0,0.6,0.6,82.0,73.3,1.2,1.9,1,0,6.69,6.8
74,169,250,Jared Jeffrey,Jared Jeffrey,DC,DC,M,M,71662.5,105000.0,77862.5,115000.0,14,19,7,4,1314,1619,2,1,0,0,5,4,0,0,1.1,0.6,81.8,78.5,0.4,0.3,0,0,6.72,6.55
75,274,114,Hector Jimenez,Hector Jimenez,CLB,CLB,M,M,105000.0,150000.0,105000.0,150000.0,14,15,11,4,1269,1366,0,0,0,3,0,1,0,0,0.6,0.3,79.3,81.1,0.5,1.1,0,1,6.43,6.86
76,193,168,Sean Johnson,Sean Johnson,CHI,NYCFC,GK,GK,250000.0,220008.0,253000.0,220008.0,22,32,0,0,1980,2880,0,0,0,0,0,2,0,0,0.0,0.0,53.3,68.1,0.5,0.2,0,1,6.68,6.73
77,140,96,Will Johnson,Will Johnson,TOR,ORL,M,M,375000.0,414000.0,395333.33,450000.0,19,23,4,3,1663,2057,2,2,3,3,4,6,0,0,1.4,1.2,82.2,83.5,0.7,0.8,1,2,6.77,6.9
78,192,71,Joevin Jones,Joevin Jones,SEA,SEA,D,D,70000.0,90000.0,76166.67,96166.67,29,28,4,2,2547,2451,2,1,3,9,6,3,0,1,0.5,0.9,83.8,84.7,0.3,0.4,1,0,6.68,6.96
79,14,184,Kaka,Kaka,ORL,ORL,M,M,6660000.0,6660000.0,7167500.0,7167500.0,23,18,1,5,1957,1566,9,6,9,4,2,6,0,1,2.6,1.3,80.2,79.2,0.4,0.3,4,0,7.21,6.7
80,44,44,Ola Kamara,Ola Kamara,CLB,CLB,F,F,425000.0,450000.0,457500.0,482500.0,20,33,5,1,1889,2868,16,18,2,3,0,0,0,0,3.2,2.6,77.3,75.0,1.2,1.5,3,3,7.01,7.05
81,34,32,Kei Kamara,Kei Kamara,NE,NE,F,F,1000000.0,800000.0,1000000.0,800000.0,21,27,0,4,1870,2366,7,12,2,4,5,4,0,0,3.3,2.8,70.5,73.7,3.3,2.6,2,4,7.07,7.13
82,152,91,Johan Kappelhof,Johan Kappelhof,CHI,CHI,D,D,480000.0,530000.0,520000.0,570000.0,31,33,2,0,2789,2881,0,0,0,2,3,5,0,1,0.1,0.1,75.5,85.2,0.7,0.9,0,1,6.75,6.9
83,38,108,Taylor Kemp,Taylor Kemp,DC,DC,D,D,100000.0,120000.0,100000.0,120000.0,30,22,1,0,2745,1980,1,0,4,0,2,2,0,0,0.7,0.5,66.1,70.3,1.2,1.4,1,0,7.06,6.88
84,3,25,Sacha Kljestan,Sacha Kljestan,NYRB,NYRB,M,M,550000.0,650000.0,687500.0,787500.0,30,28,2,4,2625,2583,6,2,16,9,3,6,0,0,1.3,1.3,74.8,79.3,1.7,1.1,2,5,7.42,7.18
85,106,106,Matias Laba,Matias Laba,VAN,VAN,M,M,560000.0,725000.0,720500.0,885500.0,32,19,0,0,2729,1612,0,2,0,0,5,6,1,1,0.3,0.8,85.2,79.3,1.2,0.9,0,0,6.85,6.88
86,86,248,Connor Lade,Connor Lade,NYRB,NYRB,D,D,62500.0,85000.0,65312.5,92812.5,15,16,3,5,1380,1382,1,0,1,2,4,3,0,0,0.8,0.6,74.1,74.3,0.8,0.4,1,0,6.88,6.56
87,234,119,Jeff Larentowicz,Jeff Larentowicz,LA,ATL,M,M,175000.0,175008.0,175000.0,175008.0,17,30,6,3,1496,2602,1,1,0,1,5,6,0,0,0.5,0.5,83.6,84.2,1.4,1.8,0,0,6.57,6.85
