R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
149	Eriq ZavaletaToronto FC, 25, D(C)	27(2)	2356	1	-	4	-	0.1	81.5	1.3	1	6.77
150	Luis SolignacChicago Fire, 27, AM(CLR),FW	26(7)	2156	7	4	1	-	1.4	77.1	0.9	-	6.77
151	Vytautas AndriuskeviciusPortland Timbers, 27, D(L)	19(4)	1781	-	4	5	-	0.3	80.4	1.3	1	6.77
152	Tosaint RickettsToronto FC, 30, FW	9(13)	1002	7	1	-	-	1.4	68.6	1.8	2	6.77
153	Joe BendikOrlando City, 28, GK	33	2970	-	-	1	-	-	55.8	0.1	4	6.77
154	LeonardoHouston Dynamo, 30, D(C)	29(1)	2616	2	1	3	-	0.4	81	1.5	1	6.76
155	Benjamin AngouaNew England Rev., 31, D(CR)	26	2311	1	-	6	-	0.4	84.4	1.8	-	6.76
156	Dominique BadjiColorado Rapids, 25, AM(LR),FW	29(4)	2540	9	4	5	-	1.7	72.4	1.9	2	6.75
157	Laurent CimanMontreal Impact, 32, D(C)	30	2700	-	1	6	-	0.5	80.7	1.5	1	6.75
158	Cyle LarinOrlando City, 23, FW	24(4)	2169	12	3	1	-	2	77.1	0.7	2	6.75
159	Joao MeiraChicago Fire, 30, D(C),DMC	27(3)	2412	-	1	3	-	0.2	90	0.9	-	6.74
160	Jahmir HykaSan Jose Earthquakes, 30, AM(CL)	21(9)	1871	3	3	-	-	1.5	86.9	0.2	1	6.74
161	Kortne FordColorado Rapids, 22, D(C)	19(1)	1727	1	-	4	-	0.5	77.8	1.2	1	6.74
162	JuninhoChicago Fire, 29, DMC	17(4)	1529	1	1	3	1	1.2	89.4	0.4	-	6.74
163	Tim ParkerVancouver Whitecaps, 25, D(CR)	32	2880	1	1	4	-	0.6	79.7	2.3	1	6.74
164	Kyle FisherMontreal Impact, 23, D(C)	15(5)	1455	1	-	3	-	0.3	83	2.3	-	6.74
165	Scott SutterOrlando City, 31, D(R)	30(2)	2729	1	4	1	-	0.5	80.4	1.1	1	6.74
166	Ricardo ClarkHouston Dynamo, 35, M(C)	26(2)	2252	-	-	6	-	0.8	80.4	1.1	-	6.74
167	Julian GresselAtlanta United, 24, M(CR)	24(8)	2050	5	9	4	-	1.1	72.2	0.5	1	6.73
168	Sean JohnsonNew York City FC, 28, GK	32	2880	-	-	2	-	-	68.1	0.2	1	6.73
169	Christian BolanosVancouver Whitecaps, 33, M(CLR)	18(3)	1629	-	5	-	1	1.4	73.7	0.2	1	6.73
170	Emmanuel BoatengLA Galaxy, 24, AM(L)	29(5)	2322	4	2	-	-	0.8	81	0.3	-	6.72
171	Kevin DoyleColorado Rapids, 34, M(C),FW	23(2)	1966	5	3	5	-	2.2	71.9	2.2	1	6.72
172	Danilo AcostaReal Salt Lake, 20, D(L)	16(1)	1407	-	1	2	1	0.1	77.2	1.2	-	6.72
173	Ashley ColeLA Galaxy, 37, D(L)	29	2499	1	2	1	1	0.3	85.3	0.8	-	6.72
174	Roman TorresSeattle Sounders FC, 32, D(C)	21(2)	1788	-	2	4	1	0.8	77.6	2	-	6.71
175	Chris DuvallMontreal Impact, 26, D(CR)	25(2)	2210	1	2	5	1	0.4	81.8	0.9	1	6.71
176	Carlos GruezoFC Dallas, 23, DMC	30(1)	2614	-	3	6	1	0.7	85.7	0.6	-	6.71
177	Danny HoesenSan Jose Earthquakes, 27, AM(LR),FW	20(12)	1839	5	5	1	-	2.2	70.9	1	1	6.71
178	Alex MuylNew York Red Bulls, 22, AM(CLR)	21(9)	1940	3	3	4	-	1.2	77.6	0.9	-	6.71
179	Bradley DialloLA Galaxy, 27, D(R)	15(3)	1383	-	-	6	1	0.6	79.3	1.4	-	6.71
180	Stefan FreiSeattle Sounders FC, 31, GK	33	2970	-	-	2	-	-	64.3	0.3	-	6.7
181	Christian RamirezMinnesota United, 27, FW	27(3)	2392	14	3	1	-	2	71.9	0.4	2	6.7
182	Kekuta MannehColumbus Crew, 23, AM(CLR),FW	9(10)	839	4	3	-	-	1.4	77.2	0.2	2	6.7
183	Dairon AsprillaPortland Timbers, 25, AM(LR)	17(10)	1395	2	4	1	-	1.3	79	1.4	2	6.7
184	KakaOrlando City, 35, M(CL),FW	18(5)	1566	6	4	6	1	1.3	79.2	0.3	-	6.7
185	Daniel LovitzMontreal Impact, 26, D(L),M(L)	19(6)	1750	-	-	4	1	0.2	76.1	1.2	-	6.69
186	Alec KannAtlanta United, 27, GK	18	1620	-	1	3	-	-	67.2	0.1	-	6.69
187	Atiba HarrisFC Dallas, 33, D(CLR),M(R),FW	21(8)	2021	2	1	7	-	0.3	81.9	2.2	-	6.69
188	Will BruinSeattle Sounders FC, 28, FW	20(11)	1824	11	2	1	-	1.7	69.2	1.2	1	6.69
189	Tyrone MearsAtlanta United, 35, D(R)	16(4)	1499	1	1	2	-	0.1	81.3	1.1	1	6.69
190	Michael ParkhurstAtlanta United, 34, D(CR)	33	2906	-	-	4	-	-	86	0.4	-	6.69
191	Zack SteffenColumbus Crew, 23, GK	34	3060	-	-	3	-	-	65.4	0.3	-	6.68
192	A.J. DeLaGarzaHouston Dynamo, 30, D(CLR)	30	2623	-	3	8	-	0.3	76.1	0.9	-	6.68
193	Nicolai NaessColumbus Crew, 25, D(C),DMC	17(1)	1476	-	-	1	-	0.4	85.9	0.9	-	6.68
